REPORTED_DATE,CRIME_COUNT
2018-04-06,209
2018-04-07,159
2018-04-08,154
2018-04-09,195
2018-04-10,210
2018-04-11,186
2018-04-12,219
2018-04-13,183
2018-04-14,148
2018-04-15,150
2018-04-16,190
2018-04-17,184
2018-04-18,202
2018-04-19,193
2018-04-20,184
2018-04-21,142
2018-04-22,129
2018-04-23,214
2018-04-24,213
2018-04-25,174
2018-04-26,226
2018-04-27,175
2018-04-28,166
2018-04-29,149
2018-04-30,204
2018-05-01,233
2018-05-02,210
2018-05-03,194
2018-05-04,172
2018-05-05,155
2018-05-06,167
2018-05-07,219
2018-05-08,203
2018-05-09,193
2018-05-10,213
2018-05-11,179
2018-05-12,164
2018-05-13,151
2018-05-14,221
2018-05-15,166
2018-05-16,193
2018-05-17,207
2018-05-18,183
2018-05-19,142
2018-05-20,155
2018-05-21,201
2018-05-22,184
2018-05-23,184
2018-05-24,209
2018-05-25,185
2018-05-26,165
2018-05-27,173
2018-05-28,170
2018-05-29,236
2018-05-30,213
2018-05-31,202
2018-06-01,177
2018-06-02,171
2018-06-03,141
2018-06-04,171
2018-06-05,176
2018-06-06,194
2018-06-07,183
2018-06-08,183
2018-06-09,137
2018-06-10,142
2018-06-11,234
2018-06-12,177
2018-06-13,186
2018-06-14,202
2018-06-15,188
2018-06-16,174
2018-06-17,155
2018-06-18,204
2018-06-19,193
2018-06-20,187
2018-06-21,214
2018-06-22,187
2018-06-23,159
2018-06-24,135
2018-06-25,219
2018-06-26,189
2018-06-27,206
2018-06-28,180
2018-06-29,205
2018-06-30,185
2018-07-01,175
2018-07-02,210
2018-07-03,187
2018-07-04,164
2018-07-05,213
2018-07-06,178
2018-07-07,157
2018-07-08,149
2018-07-09,218
2018-07-10,192
2018-07-11,186
2018-07-12,200
2018-07-13,204
2018-07-14,148
2018-07-15,144
2018-07-16,209
2018-07-17,205
2018-07-18,180
2018-07-19,177
2018-07-20,191
2018-07-21,177
2018-07-22,199
2018-07-23,232
2018-07-24,194
2018-07-25,217
2018-07-26,206
2018-07-27,182
2018-07-28,186
2018-07-29,136
2018-07-30,238
2018-07-31,216
2018-08-01,198
2018-08-02,232
2018-08-03,175
2018-08-04,138
2018-08-05,184
2018-08-06,212
2018-08-07,204
2018-08-08,196
2018-08-09,188
2018-08-10,189
2018-08-11,158
2018-08-12,160
2018-08-13,211
2018-08-14,191
2018-08-15,223
2018-08-16,189
2018-08-17,220
2018-08-18,157
2018-08-19,179
2018-08-20,198
2018-08-21,219
2018-08-22,221
2018-08-23,204
2018-08-24,207
2018-08-25,165
2018-08-26,153
2018-08-27,241
2018-08-28,249
2018-08-29,221
2018-08-30,183
2018-08-31,217
2018-09-01,198
2018-09-02,162
2018-09-03,165
2018-09-04,217
2018-09-05,188
2018-09-06,197
2018-09-07,204
2018-09-08,186
2018-09-09,171
2018-09-10,191
2018-09-11,193
2018-09-12,204
2018-09-13,187
2018-09-14,208
2018-09-15,175
2018-09-16,173
2018-09-17,229
2018-09-18,221
2018-09-19,221
2018-09-20,162
2018-09-21,193
2018-09-22,164
2018-09-23,176
2018-09-24,232
2018-09-25,195
2018-09-26,234
2018-09-27,199
2018-09-28,156
2018-09-29,139
2018-09-30,166
2018-10-01,208
2018-10-02,185
2018-10-03,204
